key,category
ACT,Action/Adventure
AN,Animals
ART,Art
ASL,American Sign Language
AST,Astronomy
AZ,Alphabet
BE,Beginner
BED,Bedtime
BIG,Biography
BIO,Biology
BO,Board Book
CH,Chapter
CHE,Chemistry
CL,Classic
COOK,Cooking
COU,Counting
DIV,Diversity
FAN,Fantasy and Fiction
GEO,Geology and Meteorology
GRNO,Graphic Novel
HD,Hard Cover
HO,Holiday
HOR,Horror
IN,Interactive
LTF,Lift the Flaps
MON,Montessori
MUS,Music
MYST,Mystery
MYT,Mythology
NON,Non Fiction
NOV,Novel
PI,Picture Book
PO,Poetry
RE,Reference
SCI,Science
SH,Self Health
SOC,Social
SP,Spanish
TIME,Time
VE,Vehicle
WD,Wordless
ROM,Romance
